CH_NUM,CHANNEL,X,Y
1,FP1,-92,-72
2,FPz,92,90
3,FP2,92,72
4,AF7,-92,-54
5,AFz,69,90
6,AF8,92,54
7,F3,-60,-51
8,Fz,46,90
9,F4,60,51
10,FC5,-72,-21
11,FC1,-32,-45
12,FC2,32,45
13,FC6,72,21
14,FT10,115,18
15,C3,-46,0
16,Cz,0,0
17,C4,46,0
18,CP6,72,-21
19,CP1,-32,45
20,CP2,32,-45
21,P3,-60,51
22,Pz,46,-90
23,P4,60,-51
24,TP9,-115,20
25,P7,-92,36
26,POz,69,-90
27,O1,-92,72
28,Oz,92,-90
29,O2,92,-72
30,TP10,115,-20
31,P8,92,-36
32,CP5,-72,21
